supplier_master_name,renewal_count,renewal_value
Weldexperts Inc,1,2941249.79
University Of Victoria - Ocean Networks Canada Society,1,2940000.0
Camp Systems International,1,2937208.62
Adstra Systems Inc,1,2932607.41
Kpler Inc,1,2908842.97
1207931 Ontario Limited,1,2906439.1
Systems For Research Corp,2,2895983.0
Corporation DU Fort St-jean,1,2893621.92
Kalo Stantec Limited,1,2887500.0
9205187 Canada Ltd.,1,2883679.98
Tedford Garage Doors,1,2880000.0
Pd226058,1,2874375.0
Highland Moving And Storage Ltd,1,2874292.0
"Tyco Integrated Fire & Security Canada, Inc/tyco Feu ET Securite Integres Canada, Inc",3,2861671.0
Pilog Incorporated,1,2859241.99
Gemtec Ltd,4,2837248.9
Colt Canada,1,2825000.0
"Adirondack Information Management Inc, The Aim Group Inc IN Joint Venture",2,2814000.0
Solotech Inc,2,2801334.28
"Aim Group Inc, The",2,2786400.0
Volvo Car Canada Limited,1,2782665.05
C-core,2,2782500.0
DR Oetker Canada Ltd,1,2778757.5
Larus Technologies Corporation,1,2774828.0
Pharmascience Inc,1,2767397.12
Gat Intl Localization Services Inc,5,2735488.27
Pittmans Enterprises Ltd,1,2711847.2
Lowe-martin Company Inc,2,2706702.0
Construction Mafranc Inc,2,2695014.0
Allseeing Corp,1,2693875.0
L3 Communications Mapps Inc,1,2688977.81
Sts Maintenance,1,2686232.6
Qdrilling &remediation Inc,2,2679000.0
Hike Metal Products Ltd,3,2674098.0
Sandoz Canada Inc,1,2668241.31
Gamble Technologies Ltd,4,2659628.06
E-lockers Inc,3,2658324.11
Exo Insights Corp.,2,2652197.82
Les Traductions Tessier,5,2651323.5
"Academi Training Center, Llc",1,2637814.95
Sysnergie Inc,2,2635826.9
9374-0587 Quebec Inc.,1,2633832.07
Applied Electronics Ltd,2,2629652.51
The Globe And Mail Inc/publications Globe And Mail Inc,4,2629185.45
Mid-west Pump Ltd,1,2625000.0
Mnp,1,2622652.56
Jastram Technologies Ltd,2,2620938.77
Independent Robotics Inc./robotique Independent Inc.,1,2618739.29
"Ovid Technologies, Inc",4,2595778.44
"Invitrogen, Applied Biosystems",9,2591628.24
Gemalto Canada Inc,1,2587366.13
Chaac Technologies,1,2584228.49
Airadar Inc.,1,2564661.78
G.p. Splinter Forest Products,1,2563292.0
Pacwill Environmental,3,2552606.88
Adobe Systems Federal Llc,2,2548964.23
Northern Contracting Ltd,1,2546142.12
Israel Aircraft Industries Ltd Malat Division,1,2528262.0
Israel Aerospace Industries Ltd,1,2528262.0
Zighra Inc.,1,2525544.35
Malahat Solutions Inc,2,2511250.52
Nick Mahoney Construction Ltd.,1,2490000.0
Allied Systems Company,3,2485354.1
Nuvu Cameras Inc,1,2475772.9
"Vemco, A Division OF Amirix Systems Inc",1,2475385.0
Cdw Canada Corp,5,2473885.34
Commercial Cleaning Services,1,2471287.32
Air Liquide,5,2464657.3
Avss - Aerial Vehicle Safety Solutions Inc.,2,2453372.74
"1286756 Ontario Limited, 1286752 Ontario Limited, ET AL",1,2444223.9
Le Devoir Inc.,1,2424985.45
Ecopia AI,1,2424002.09
Groupe Multi-services Galipeau,3,2413060.79
Keysight Technologies Canada Inc,3,2411637.27
Wsp,5,2410723.43
Vaultie,2,2409966.45
Safdie Architects Llc,1,2401554.87
