issue_type,contract_number,supplier,value
zero_value,CW2346283,Advanced Chippewa Technologies,0.0
zero_value,CW2344267,Intellidocx,0.0
zero_value,CW2344074,Carahsoft,0.0
zero_value,CW2345118,Accelerated Technology Laboratories,0.0
zero_value,CW2341436,Modest Tree,0.0
zero_value,CW2341531,Sdl International,0.0
zero_value,CW2341354,Sagetea Software,0.0
zero_value,CW2341897,Sdl International,0.0
zero_value,CW2342001,N Harris Computer I2 Group,0.0
zero_value,CW2343915,Mattawa It,0.0
zero_value,CW2343398,Sage Data Solutions,0.0
zero_value,CW2351731,Carahsoft,0.0
zero_value,CW2351877,Laurentian Technologies,0.0
zero_value,CW2349415,Orangutech,0.0
zero_value,CW2348156,Carahsoft,0.0
zero_value,CW2352697,Ricoh,0.0
zero_value,CW2353710,Laurentian Technologies,0.0
zero_value,CW2357016,Wolters Kluwer Wolters Kluwer Limit E,0.0
zero_value,CW2356036,Carahsoft Technology,0.0
zero_value,CW2368723,Carahsoft,0.0
zero_value,CW2370652,Cryotic Consulting,0.0
zero_value,CW2368921,Purelogicit,0.0
zero_value,CW2366581,Click Networks,0.0
zero_value,CW2363393,Advanced Chippewa Technologies,0.0
zero_value,CW2361207,Data Centre Intelligence,0.0
zero_value,CW2361160,Eclipsys Solutions,0.0
zero_value,CW2360761,Kdma,0.0
zero_value,CW2360267,Carahsoft,0.0
zero_value,CW2361600,Advanced Chippewa Technologies,0.0
zero_value,CW2361407,Innovation 7,0.0
zero_value,CW2362350,10947482,0.0
zero_value,CW2362089,1E,0.0
zero_value,CW2357300,Ipss,0.0
zero_value,CW2384144,Carahsoft,0.0
zero_value,CW2387028,Carahsoft,0.0
zero_value,CW2378833,Mattawa It,0.0
zero_value,CW2379484,Purelogicit,0.0
zero_value,CW2381915,Act,0.0
zero_value,CW2381177,Carahsoft,0.0
zero_value,CW2388310,Purelogicit,0.0
zero_value,CW2381165,Purelogicit,0.0
zero_value,CW2377510,Foxwise Technologies,0.0
zero_value,CW2377408,Purelogicit,0.0
zero_value,CW2377025,Purelogicit,0.0
zero_value,CW2376080,Mattawa It,0.0
zero_value,CW2399683,Mattawa It,0.0
zero_value,CW2394139,Data Centre Intelligence,0.0
zero_value,CW2394107,Ipss,0.0
zero_value,CW2398328,Carahsoft,0.0
zero_value,CW2405478,Data Centre Intelligence,0.0
zero_value,CW2414512,Act,0.0
zero_value,CW2455412,4165047,0.0
zero_value,CW2455235,Mattawa It,0.0
zero_value,CW2450446,Data Centre Intelligence,0.0
zero_value,CW2451525,Data Centre Intelligence,0.0
zero_value,CW2454217,Skyfly Solutions,0.0
zero_value,CW2419114,Carahsoft,0.0
zero_value,CW2416954,Carahsoft,0.0
zero_value,CW2423372,It Broker,0.0
zero_value,CW2420500,Taiga,0.0
zero_value,CW2422322,Metropolitan,0.0
zero_value,CW2429859,Winpure,0.0
zero_value,CW2429871,Carahsoft,0.0
zero_value,CW2423367,Carahsoft,0.0
zero_value,CW2436078,Tacteris Systems,0.0
zero_value,CW2436107,Nextria,0.0
zero_value,CW2441183,Carahsoft,0.0
zero_value,CW2435116,Symetri,0.0
zero_value,CW2358199,Palantir Technologies,0.0
zero_value,CW2358586,Cyberstockroom,0.0
zero_value,CW2358459,Withyouwithme,0.0
zero_value,CW2372815,Factr,0.0
zero_value,CW2371903,Carahsoft,0.0
zero_value,CW2371998,Ipss,0.0
zero_value,CW2361541,Data Centre Intelligence,0.0
zero_value,CW2360392,Ipss,0.0
zero_value,CW2368837,Ipss,0.0
zero_value,CW2355057,Ipss,0.0
zero_value,CW2353407,H2 Analytics,0.0
zero_value,CW2353415,Advanced Chippewa Technologies,0.0
zero_value,CW2352559,Thrive Health,0.0
zero_value,CW2352706,Oxaro,0.0
zero_value,CW2347999,Udemy,0.0
zero_value,CW2351960,B N H Expert Engineering Software,0.0
zero_value,CW2351090,Borealis,0.0
zero_value,CW2351505,Carahsoft,0.0
zero_value,CW2351437,Deephow,0.0
zero_value,CW2350002,Sap,0.0
zero_value,CW2350296,Data Centre Intelligence,0.0
zero_value,CW2346932,Agilquest,0.0
zero_value,CW2383252,Ipss,0.0
zero_value,CW2382752,Ipss,0.0
zero_value,CW2382738,Ipss,0.0
zero_value,CW2380456,Advanced Chippewa Technologies,0.0
zero_value,CW2381394,Ipss,0.0
zero_value,CW2379066,Advanced Chippewa Technologies,0.0
zero_value,CW2379074,10947482,0.0
zero_value,CW2378811,Opentext,0.0
zero_value,CW2379561,Jml Systems And Solutions,0.0
zero_value,CW2375170,Ipss,0.0
zero_value,CW2374348,Ipss,0.0
zero_value,CW2377721,Advanced Chippewa Technologies,0.0
zero_value,CW2377724,1E,0.0
zero_value,CW2377726,Ernst And Young,0.0
zero_value,CW2390542,Knockri,0.0
zero_value,CW2387760,Makila Ai,0.0
zero_value,CW2386169,Data Centre Intelligence,0.0
zero_value,CW2384674,Tehama Technologies,0.0
zero_value,CW2385133,Intellidocx,0.0
zero_value,CW2385678,Micro Logic Sainte Foy Lt E,0.0
zero_value,CW2383815,Orangutech,0.0
zero_value,CW2383846,Ipss,0.0
zero_value,CW2383501,Kpmg,0.0
zero_value,CW2416264,Avi Spl,0.0
zero_value,CW2413398,Carahsoft,0.0
zero_value,CW2412315,Data Centre Intelligence,0.0
zero_value,CW2409067,Data Centre Intelligence,0.0
zero_value,CW2407519,Data Centre Intelligence,0.0
zero_value,CW2404968,Orangutech,0.0
zero_value,CW2405503,Data Centre Intelligence,0.0
